"external_id","week","q2","group"
"28",8,2,"labPl"
"28",13,1,"labPl"
"29",13,3,"labPl"
"29",7,4,"labPl"
"29",12,2,"labPl"
"29",1,3,"labPl"
"29",11,2,"labPl"
"29",6,4,"labPl"
"29",5,5,"labPl"
"29",9,3,"labPl"
"29",10,2,"labPl"
"29",8,3,"labPl"
"29",3,3,"labPl"
"29",2,4,"labPl"
"29",4,4,"labPl"
"30",9,2,"labPl"
"30",4,4,"labPl"
"30",11,2,"labPl"
"30",7,4,"labPl"
"30",10,3,"labPl"
"30",1,4,"labPl"
"30",5,4,"labPl"
"30",8,3,"labPl"
"30",13,2,"labPl"
"30",2,3,"labPl"
"30",3,3,"labPl"
"30",6,3,"labPl"
"30",12,3,"labPl"
"31",13,2,"labPl"
"31",7,4,"labPl"
"31",8,1,"labPl"
"31",9,1,"labPl"
"31",10,1,"labPl"
"31",2,3,"labPl"
"31",6,3,"labPl"
"31",1,4,"labPl"
"31",12,1,"labPl"
"31",5,4,"labPl"
"31",11,2,"labPl"
"31",4,4,"labPl"
"31",3,3,"labPl"
"32",8,3,"labPl"
"32",3,4,"labPl"
"32",2,3,"labPl"
"32",6,4,"labPl"
"32",5,5,"labPl"
"32",7,4,"labPl"
"32",9,4,"labPl"
"32",4,5,"labPl"
"32",11,4,"labPl"
"32",10,3,"labPl"
"32",1,3,"labPl"
"32",12,4,"labPl"
"32",13,4,"labPl"
"41",2,3,"labPl"
"41",5,2,"labPl"
"41",1,4,"labPl"
"41",13,2,"labPl"
"41",10,2,"labPl"
"41",12,3,"labPl"
"41",8,1,"labPl"
"41",4,2,"labPl"
"41",3,4,"labPl"
"41",9,2,"labPl"
"41",11,3,"labPl"
"41",6,4,"labPl"
"41",7,3,"labPl"
"42",1,4,"labPl"
"42",3,4,"labPl"
"42",6,3,"labPl"
"42",12,2,"labPl"
"42",7,3,"labPl"
"42",9,4,"labPl"
"42",10,3,"labPl"
"42",11,4,"labPl"
"42",2,4,"labPl"
"42",13,5,"labPl"
"42",8,4,"labPl"
"42",4,4,"labPl"
"42",5,4,"labPl"
"43",11,2,"labPl"
"43",4,4,"labPl"
"43",2,3,"labPl"
"43",6,4,"labPl"
"43",9,2,"labPl"
"43",12,3,"labPl"
"43",3,4,"labPl"
"43",10,3,"labPl"
"43",5,3,"labPl"
"43",13,3,"labPl"
"43",1,4,"labPl"
"43",7,5,"labPl"
"43",8,3,"labPl"
"44",4,4,"labPl"
"44",2,4,"labPl"
"44",1,4,"labPl"
"44",11,2,"labPl"
"44",13,2,"labPl"
"44",7,3,"labPl"
"44",3,3,"labPl"
"44",12,4,"labPl"
"44",6,2,"labPl"
"44",8,2,"labPl"
"44",10,3,"labPl"
"44",9,3,"labPl"
"44",5,3,"labPl"
"45",2,3,"labPl"
"45",10,2,"labPl"
"45",4,4,"labPl"
"45",5,2,"labPl"
"45",3,4,"labPl"
"45",13,1,"labPl"
"45",6,3,"labPl"
"45",12,2,"labPl"
"45",8,2,"labPl"
"45",9,2,"labPl"
"45",7,3,"labPl"
"45",1,3,"labPl"
"45",11,2,"labPl"
"46",12,1,"labPl"
"46",4,3,"labPl"
"46",9,2,"labPl"
"46",5,3,"labPl"
"46",6,3,"labPl"
"46",8,2,"labPl"
"46",1,3,"labPl"
