"external_id","week","mo","tu","we","th","fr","sa","q2","group"
"d45b5",3,4.198,4.176,4.127,4.181,2.172,2.113,4,"lts"
"f1308",3,4.198,4.176,4.127,4.181,2.172,2.113,3,"lts"
"f75f6",3,4.198,4.176,4.127,4.181,2.172,2.113,4,"lts"
"f7c29",3,4.198,4.176,4.127,4.181,2.172,2.113,3,"lts"
"00c2c",4,2.023,1.954,4.221,4.125,4.234,4.169,4,"lts"
"023ce",4,2.023,1.954,4.221,4.125,4.234,4.169,5,"lts"
"0d293",4,2.023,1.954,4.221,4.125,4.234,4.169,4,"lts"
"27e23",4,2.023,1.954,4.221,4.125,4.234,4.169,4,"lts"
"365cd",4,2.023,1.954,4.221,4.125,4.234,4.169,5,"lts"
"559e2",4,2.023,1.954,4.221,4.125,4.234,4.169,4,"lts"
"5aa56",4,2.023,1.954,4.221,4.125,4.234,4.169,5,"lts"
"5c3d1",4,2.023,1.954,4.221,4.125,4.234,4.169,4,"lts"
"7d03b",4,2.023,1.954,4.221,4.125,4.234,4.169,4,"lts"
"88df4",4,2.023,1.954,4.221,4.125,4.234,4.169,3,"lts"
"8a560",4,2.023,1.954,4.221,4.125,4.234,4.169,4,"lts"
"8caa8",4,2.023,1.954,4.221,4.125,4.234,4.169,4,"lts"
"a711f",4,2.023,1.954,4.221,4.125,4.234,4.169,5,"lts"
"bb4ea",4,2.023,1.954,4.221,4.125,4.234,4.169,3,"lts"
"bd209",4,2.023,1.954,4.221,4.125,4.234,4.169,4,"lts"
"c05b7",4,2.023,1.954,4.221,4.125,4.234,4.169,4,"lts"
"c42b6",4,2.023,1.954,4.221,4.125,4.234,4.169,5,"lts"
"d45b5",4,2.023,1.954,4.221,4.125,4.234,4.169,3,"lts"
"f1308",4,2.023,1.954,4.221,4.125,4.234,4.169,5,"lts"
"f75f6",4,2.023,1.954,4.221,4.125,4.234,4.169,5,"lts"
"f865c",4,2.023,1.954,4.221,4.125,4.234,4.169,4,"lts"
